time,amp,Frequency,Amplitude,Phase
1,14.20467895,2,20,0.79
2,15.06375467,,,
3,15.87208999,,,
4,16.59211932,,,
5,17.26233899,,,
6,17.86734452,,,
7,18.39730232,,,
8,18.84648499,,,
9,19.22664193,,,
10,19.54660474,,,
11,19.76321401,,,
12,19.91495027,,,
13,19.99401573,,,
14,19.99458695,,,
15,19.90233722,,,
16,19.73339119,,,
17,19.49866822,,,
18,19.17580286,,,
19,18.77637489,,,
20,18.31312769,,,
21,17.7669196,,,
22,17.15416236,,,
23,16.47577383,,,
24,15.73110154,,,
25,14.92267998,,,
26,14.04811377,,,
27,13.13061835,,,
28,12.15609274,,,
29,11.13282724,,,
30,10.06889126,,,
31,8.961488993,,,
32,7.818444368,,,
33,6.647918316,,,
34,5.452154942,,,
35,4.240617084,,,
36,3.003025091,,,
37,1.748552869,,,
38,0.489882533,,,
39,-0.774279169,,,
40,-2.023613927,,,
41,-3.267239964,,,
42,-4.506149039,,,
43,-5.713374863,,,
44,-6.912384921,,,
45,-8.079547246,,,
46,-9.211433011,,,
47,-10.31300983,,,
48,-11.36197364,,,
49,-12.37140847,,,
50,-13.34286374,,,
51,-14.25288763,,,
52,-15.10730009,,,
53,-15.90636669,,,
54,-16.62316014,,,
55,-17.29524817,,,
56,-17.89332518,,,
57,-18.42320705,,,
58,-18.87324614,,,
59,-19.25665795,,,
60,-19.55305077,,,
61,-19.77474936,,,
62,-19.91859881,,,
63,-19.99345158,,,
64,-19.98781003,,,
65,-19.89102121,,,
66,-19.72271247,,,
67,-19.48032249,,,
68,-19.15802535,,,
69,-18.75746233,,,
70,-18.28730827,,,
71,-17.73509903,,,
72,-17.12877545,,,
73,-16.43580992,,,
74,-15.68742937,,,
75,-14.87615641,,,
76,-14.01131153,,,
77,-13.08899417,,,
78,-12.10687515,,,
79,-11.08954199,,,
80,-10.01802179,,,
81,-8.904848209,,,
82,-7.764848653,,,
83,-6.594262982,,,
84,-5.391368199,,,
85,-4.176436607,,,
86,-2.925835581,,,
87,-1.678701834,,,
88,-0.433776407,,,
89,0.824650564,,,
90,2.080618874,,,
91,3.332840588,,,
92,4.562969934,,,
93,5.782802985,,,
94,6.970288875,,,
95,8.125202816,,,
96,9.2708329,,,
97,10.36217898,,,
98,11.41064886,,,
99,12.42314911,,,
100,13.39012743,,,
101,14.29333743,,,
102,15.14600635,,,
103,15.94311625,,,
104,16.67200198,,,
105,17.31823855,,,
106,17.92092687,,,
107,18.44563828,,,
108,18.89919453,,,
109,19.26657052,,,
110,19.5702927,,,
111,19.79296714,,,
112,19.93353169,,,
113,19.99265321,,,
114,19.98605558,,,
115,19.88921637,,,
116,19.71134066,,,
117,19.46811192,,,
118,19.13913581,,,
119,18.73473962,,,
120,18.25825358,,,
121,17.709518,,,
122,17.09435461,,,
123,16.40447271,,,
124,15.64416856,,,
125,14.84001978,,,
126,13.96691266,,,
127,13.02878765,,,
128,12.05843513,,,
129,11.0230397,,,
130,9.957681501,,,
131,8.855418516,,,
132,7.704764443,,,
133,6.53104422,,,
134,5.330454724,,,
135,4.107415699,,,
136,2.866833414,,,
137,1.623972152,,,
138,0.365764649,,,
139,-0.897345287,,,
140,-2.14507145,,,
141,-3.384048765,,,
142,-4.631564361,,,
143,-5.852440405,,,
144,-7.03304119,,,
145,-8.193560536,,,
146,-9.320485534,,,
147,-10.41660857,,,
148,-11.47624314,,,
149,-12.47949929,,,
150,-13.43693704,,,
151,-14.34180832,,,
152,-15.18639639,,,
153,-15.97183135,,,
154,-16.69602187,,,
155,-17.36256694,,,
156,-17.94848124,,,
157,-18.4640492,,,
158,-18.91218934,,,
159,-19.29695459,,,
160,-19.57774046,,,
161,-19.79276278,,,
162,-19.93664112,,,
163,-19.99699345,,,
164,-19.98107756,,,
165,-19.88339786,,,
166,-19.70850307,,,
167,-19.44286169,,,
168,-19.12484844,,,
169,-18.71397932,,,
170,-18.22820156,,,
171,-17.68160704,,,
172,-17.05144187,,,
173,-16.36839898,,,
174,-15.61601327,,,
175,-14.79205904,,,
176,-13.92264916,,,
177,-12.98783775,,,
178,-12.00733501,,,
179,-10.97549496,,,
180,-9.905922945,,,
